protein_ID	D_3_logFC_23	D_5_logFC_23	D_7_logFC_23	D_9_logFC_23	D_11_logFC_23	D_13_logFC_23	D_3_ChiSq.pval_23	D_5_ChiSq.pval_23	D_7_ChiSq.pval_23	D_9_ChiSq.pval_23	D_11_ChiSq.pval_23	D_13_ChiSq.pval_23	D_3_adj.ChiSq.pval_23	D_5_adj.ChiSq.pval_23	D_7_adj.ChiSq.pval_23	D_9_adj.ChiSq.pval_23	D_11_adj.ChiSq.pval_23	D_13_adj.ChiSq.pval_23	gene	type
CHOYP_ABCE1.1.2.m.7437	0.460546288689425	-0.0569717442464137	-0.0219395472725861	0.153598461729993	-1.75444146039961	-0.348438579128946	0.144587775215641	0.843034744627474	0.938477920735402	0.628085679538005	0.00123465863496829	0.399430031995425	0.972056752910786	0.971021389430923	0.997624329922123	0.940454783919857	0.083187655569175	0.915324501700265	ABCE1	protein
CHOYP_ACAA2.1.1.m.30666	-0.212163855387766	-0.194841829655156	-0.269559613716416	0.0242357180551078	-1.70381538732964	-1.08651779360586	0.432820878870777	0.462082950774286	0.295700116801519	0.931769981738471	0.000401877183117437	0.0111182187391597	0.972056752910786	0.971021389430923	0.997624329922123	0.966894670166965	0.0365001895533074	0.915324501700265	THIM	protein
CHOYP_ACT.23.27.m.58454	-0.176478465865242	0.118235925276587	-0.186570249045385	-0.0175076245436445	0.00761511472943077	-0.255138958501329	0.243048879452852	0.446131185270201	0.263156664822778	0.923762209735614	0.970301852490544	0.192882082092677	0.972056752910786	0.971021389430923	0.997624329922123	0.966894670166965	0.981635990422128	0.915324501700265	ACT.23.27.m.58454	protein
CHOYP_ACT.4.27.m.14034	0.331544233505503	0.292470345545228	-0.233976258935944	0.730983555736252	0.846381695230842	0.566642414133202	0.0928257376792902	0.13871777386551	0.197928294526969	0.000192424779385159	4.17997252504808e-05	0.00261240646039895	0.972056752910786	0.971021389430923	0.997624329922123	0.121671668195847	0.00701211717467249	0.397666316749618	ACTC	protein
CHOYP_ACT.5.27.m.15585	-0.0816733404681553	0.115354314011345	-0.0335678760894407	0.139240617565804	-0.270772099996478	-1.08716401759915	0.290353196888565	0.141931339119031	0.664354456250436	0.110948474077889	0.0168552065103319	1.62958604984906e-20	0.972056752910786	0.971021389430923	0.997624329922123	0.940454783919857	0.449355839051313	1.33951973297593e-16	ACT.5.27.m.15585	protein
CHOYP_ACT1.4.7.m.29125	0.188783988970957	0.258804123659353	-0.258978744573435	0.527705696953955	1.13935760009696	0.634283429439217	0.154600651369682	0.0502373417125292	0.0402650211814723	2.8013781884127e-05	1.60807755838001e-17	5.67073742288986e-07	0.972056752910786	0.971021389430923	0.997624329922123	0.0230273287087524	1.32183975298837e-13	0.000466134616161546	ACT1	protein
CHOYP_ACTC.3.6.m.21571	0.0978524312564328	0.242060859824778	-0.226098613232022	0.355319595374091	0.705575548808064	0.402229391855991	0.45089003931211	0.0610163692726224	0.0668809986493772	0.00478170745409313	5.74162210156545e-07	0.00307975756471171	0.972056752910786	0.971021389430923	0.997624329922123	0.940454783919857	0.000188753210360534	0.45206441396304	ACT.3.6.m.21571	protein
CHOYP_AKD1.2.3.m.49697	-1.51930473327752	-0.731142211676723	0.0674753735611544	0.875115656807536	-0.118852886608481	-0.768341833579606	2.91392117370192e-05	0.153451319886851	0.872632702726908	0.0870185076770601	0.903116059252151	0.35600602818254	0.00647363028319724	0.971021389430923	0.997624329922123	0.940454783919857	0.926099551778029	0.915324501700265	KAD9.2.3.m.49697	protein
CHOYP_AKD1.3.3.m.63103	-1.51930473327752	-0.741195876340647	0.0626583572633779	0.78705948014234	-0.118852886608481	-0.687421838196039	2.91392117370192e-05	0.131435057663332	0.876757635270207	0.0927197816267609	0.903116059252151	0.360661967729892	0.00647363028319724	0.971021389430923	0.997624329922123	0.940454783919857	0.926099551778029	0.915324501700265	KAD9.3.3.m.63103	protein
CHOYP_ALF.2.3.m.40474	0.225035293815235	0.0888791222170413	-0.121037089006329	0.0993588738319255	0.590927878231494	0.190191549125009	0.326612974397602	0.697616299076151	0.596964358428695	0.671959355507704	0.0275700916480746	0.462038347012524	0.972056752910786	0.971021389430923	0.997624329922123	0.940454783919857	0.605952281676933	0.915324501700265	ALF	protein
