protein_ID,TempPC2,TimePC12,TimexTempPC12,D_3_adj.ChiSq.pval,D_3_ChiSq.pval,D_3_logFC,D_5_adj.ChiSq.pval,D_5_ChiSq.pval,D_5_logFC,D_7_adj.ChiSq.pval,D_7_ChiSq.pval,D_7_logFC,D_9_adj.ChiSq.pval,D_9_ChiSq.pval,D_9_logFC,D_11_adj.ChiSq.pval,D_11_ChiSq.pval,D_11_logFC,D_13_adj.ChiSq.pval,D_13_ChiSq.pval,D_13_logFC,Entry,Entry_name,evalue,type
CHOYP_14332.1.2.m.5643,0.0717402625963702,0.0258116477316855,0.056490574301508,0.983094549128116,0.977779188180988,0.00569544147316758,0.967036679485888,0.853212884081201,0.0371098133920595,0.949671592008509,0.337404396507067,0.210182092744044,0.979180442953242,0.970519949406397,0.0074451252499852,0.998682844793179,0.740867688313365,0.0653630126555198,0.958428402785477,0.718445317543284,0.0743603119975944,Q2F637,1433Z_BOMMO,2.78e-119,protein
CHOYP_14332.2.2.m.61737,-0.0905343335476466,0.0327636206841196,0.0352229129248137,0.979445546193914,0.7453636366662,-0.0662801373101827,0.967036679485888,0.521701063346062,-0.128313795815312,0.949671592008509,0.844314987783704,0.0431488807182854,0.979180442953242,0.859031527536024,-0.0360565133866011,0.998682844793179,0.423164360936544,0.156607929780843,0.958428402785477,0.725476397714148,-0.0754346176524381,Q2F637,1433Z_BOMMO,4.22e-119,protein
CHOYP_ABCF2.1.2.m.28362,NA,0.0997828972168708,0.0827210533869565,0.979445546193914,0.0631367041186092,0.377522946195267,0.967036679485888,0.190175101218237,0.237406273993046,0.949671592008509,0.236496988760117,0.226860833890674,0.521907921398874,0.00384004745442293,-0.55604770024867,0.998682844793179,0.627708585078138,-0.110634484632338,0.958428402785477,0.666425029227101,0.0818678486665352,P79781,RS27A_CHICK,4.90e-96,protein
CHOYP_ACT.23.27.m.58454,-0.088254518602273,0.154785388507356,0.186574517338561,0.99422697396113,0.992101755985858,-0.00142899296021426,0.967036679485888,0.711074112544256,-0.0591026591211952,0.949671592008509,0.11252591966271,0.25349596039414,0.979180442953242,0.0399910795937763,0.334554468771326,0.998682844793179,0.680898719409003,0.0632067476472624,0.958428402785477,0.0673842251309437,0.267892747245805,O17320,ACT_CRAGI,0.0,protein
CHOYP_ACT.5.27.m.15585,-0.186137812781832,0.207675077239199,0.117206780150365,0.979445546193914,0.49246622763317,0.0511322850154663,0.967036679485888,0.00977840567710385,-0.215138417616673,1.75836482358296e-07,6.6328359999357e-11,-0.584610196639161,0.779297472465954,0.00715311398088956,0.220425832732836,0.998682844793179,0.0466275939694367,0.155939223221216,0.958428402785477,0.203786393291684,0.09502210868866,Q26065,ACT_PLAMG,0.0,protein
CHOYP_ACT.6.27.m.15622,-0.251151844785628,0.175737195084594,0.102052297732347,0.979445546193914,0.530327364727272,0.0581672336143058,0.967036679485888,0.0166544758915594,-0.23866919190187,3.23764564902092e-08,8.14194806744855e-12,-0.742293199156566,0.979180442953242,0.114266520323828,0.149640268699727,0.998682844793179,0.185411110406642,0.122373437027631,0.958428402785477,0.137768639789774,-0.133693010099286,Q92193,ACT_CRAVI,7.87e-178,protein
CHOYP_ACT3.3.3.m.66907,0.0251989018208031,NA,NA,0.979445546193914,0.762287490952442,-0.0364329914159418,0.967036679485888,0.175706548301089,-0.179094839081561,0.949671592008509,0.0114749557980211,-0.34036858090546,0.979180442953242,0.121993326340942,0.198655102109095,0.998682844793179,0.036972000348998,0.258704540063957,0.793975311470128,0.00992587232854312,0.308638710513558,Q25010,ACT3A_HELAM,5.91e-169,protein
CHOYP_ACT5.3.3.m.41147,NA,NA,0.0268595372144136,0.979445546193914,0.72828467423613,0.0372244384436762,0.967036679485888,0.307766358934773,-0.116035466036875,0.949671592008509,0.044727030303539,-0.227845280879141,0.979180442953242,0.0626490135326244,0.20387400978858,0.998682844793179,0.0678278546771041,0.194475735248995,0.149747994172512,0.000806600802335043,0.350335615815416,P53505,ACT5_XENLA,0.0,protein
CHOYP_ADD.3.5.m.17639,0.0305946117043413,0.0255161385214915,NA,0.979445546193914,0.595465734296536,0.119586408001152,0.967036679485888,0.45692388593465,0.171714817500683,0.949671592008509,0.250427310701032,0.263386709915787,0.979180442953242,0.404295287974682,0.182428569491053,0.998682844793179,0.457409798965667,0.161737785780792,0.981765106666288,0.971519098385978,-0.00810184819437776,Q02645,HTS_DROME,1.27e-175,protein
CHOYP_AGAP_AGAP005942.1.3.m.3157,NA,NA,0.0317396495586741,0.979445546193914,0.0759555873474859,0.601738103138532,0.967036679485888,0.485945677382545,-0.243791013235248,0.949671592008509,0.305723864535574,-0.342504811779464,0.979180442953242,0.277324006701969,-0.328838262614448,0.998682844793179,0.29865231589982,-0.389404717089562,0.958428402785477,0.358011451860326,0.330138901828589,Q5RD69,TICN3_PONAB,3.29e-09,protein
