CHOYP_ACACA.1.7	GO:0006633, GO:0016874, GO:0005524, GO:0003989
CHOYP_FAT4.10.10	GO:0016020, GO:0007156, GO:0005509
CHOYP_LOC100928016.1.6	GO:0008270, GO:0005515, GO:0005622
CHOYP_AAEL_AAEL006283.1.1	GO:0016021
CHOYP_MEGF6.42.59	GO:0005515
CHOYP_TRIM3.44.58	GO:0005515
CHOYP_LOC100900174.1.1	GO:0046872, GO:0003676
CHOYP_LOC100337900.1.1	GO:0008152, GO:0016491
CHOYP_LOC752773.1.2	GO:0016791, GO:0008138, GO:0016311, GO:0006470, GO:0004725, GO:0005515
CHOYP_BRAFLDRAFT_88223.1.22	GO:0008270, GO:0005515, GO:0005622
CHOYP_PF10_0177B.1.1	GO:0005515
CHOYP_contig_049620	GO:0003824
CHOYP_LOC100903889.1.1	GO:0006468, GO:0016772, GO:0004713, GO:0004672, GO:0007155, GO:0005524
CHOYP_ZN624.1.1	GO:0046872, GO:0003676
CHOYP_CPIPJ_CPIJ001613.3.3	GO:0008270, GO:0005622
CHOYP_contig_038598	GO:0006030, GO:0005576, GO:0008061
CHOYP_TBA1A.4.4	GO:0043234, GO:0051258, GO:0007017, GO:0003924, GO:0005200, GO:0006184, GO:0005874, GO:0005525
CHOYP_HGFAC.1.1	GO:0006030, GO:0005576, GO:0008061, GO:0005515
CHOYP_BACD3.1.1	GO:0032006
CHOYP_BRAFLDRAFT_73486.1.1	GO:0006570, GO:0004411, GO:0055114, GO:0006559
CHOYP_S35F6.1.1	GO:0016021, GO:0008643, GO:0005351, GO:0000139
CHOYP_LOC100197876.1.1	GO:0006468, GO:0016772, GO:0016849, GO:0004672, GO:0035556, GO:0009190, GO:0005524
CHOYP_contig_044630	GO:0005515
CHOYP_LOC578867.1.5	GO:0006464
CHOYP_ARNT.1.1	GO:0005737, GO:0005667, GO:0003700, GO:0005634, GO:0006355, GO:0007165, GO:0004871, GO:0046983
CHOYP_BRAFLDRAFT_77841.1.1	GO:0005044, GO:0016020
CHOYP_P3H2.1.1	GO:0031418, GO:0016706, GO:0016705, GO:0005515, GO:0005506, GO:0055114, GO:0016491
CHOYP_BRAFLDRAFT_203393.2.2	GO:0005515
CHOYP_PTGER4.2.3	GO:0004930, GO:0007186, GO:0016021
CHOYP_LOC100902807.2.4	GO:0030246, GO:0005515
CHOYP_LOC100198324.2.6	GO:0005507, GO:0055114, GO:0016491
CHOYP_KLDC1.1.2	GO:0005515
CHOYP_BRAFLDRAFT_102618.1.1	GO:0005856, GO:0007165, GO:0005515, GO:0005622
CHOYP_contig_001932	GO:0003964, GO:0015074, GO:0006278, GO:0003723, GO:0003676
CHOYP_BRAFLDRAFT_100614.1.1	GO:0005515
CHOYP_LOC100679475.1.1	GO:0006470, GO:0004725
CHOYP_LOC660225.1.1	GO:0006004, GO:0004560, GO:0005975
CHOYP_KC1D.1.3	GO:0004674, GO:0006468, GO:0016772, GO:0005524, GO:0004672
CHOYP_LOC100179103.1.1	GO:0016021, GO:0005328, GO:0006836
CHOYP_M3K7.4.4	GO:0004674, GO:0006468, GO:0016772, GO:0005524, GO:0004672
CHOYP_BRAFLDRAFT_90679.1.1	GO:0004222, GO:0016020, GO:0008270, GO:0005515, GO:0006508, GO:0008237
CHOYP_BRAFLDRAFT_259980.1.1	GO:0003824
CHOYP_SI1L1.1.2	GO:0051056, GO:0005096, GO:0005515
CHOYP_LOC583472.1.1	GO:0004003, GO:0006303, GO:0016817, GO:0003677
CHOYP_KAPC.1.1	GO:0016772, GO:0006468, GO:0004674, GO:0005524, GO:0004672
CHOYP_BRAFLDRAFT_93876.1.1	GO:0005634, GO:0045892, GO:0003677
CHOYP_CCNL1.1.2	GO:0019901, GO:0005634, GO:0006396
CHOYP_LOC100867381.8.8	GO:0005515
CHOYP_contig_055955	GO:0005509
CHOYP_BRAFLDRAFT_90110.1.1	GO:0005515
CHOYP_BRAFLDRAFT_127523.1.1	GO:0005787, GO:0008233, GO:0016021, GO:0006465
CHOYP_LOC100770244.1.1	GO:0003950, GO:0000166
CHOYP_KLHL24.1.4	GO:0005515
