protein_ID,TempPC2,TimePC12,TimexTempPC12,D_3_T_23_adj.ChiSq.pval,D_3_T_23_logFC,D_3_T_29_adj.ChiSq.pval,D_3_T_29_logFC,D_5_T_23_adj.ChiSq.pval,D_5_T_23_logFC,D_5_T_29_adj.ChiSq.pval,D_5_T_29_logFC,D_7_T_23_adj.ChiSq.pval,D_7_T_23_logFC,D_7_T_29_adj.ChiSq.pval,D_7_T_29_logFC,D_9_T_23_adj.ChiSq.pval,D_9_T_23_logFC,D_9_T_29_adj.ChiSq.pval,D_9_T_29_logFC,D_11_T_23_adj.ChiSq.pval,D_11_T_23_logFC,D_11_T_29_adj.ChiSq.pval,D_11_T_29_logFC,D_13_T_23_adj.ChiSq.pval,D_13_T_23_logFC,D_13_T_29_adj.ChiSq.pval,D_13_T_29_logFC,Entry_name,evalue
CHOYP_ABCF2.1.2.m.28362,NA,0.0997828972168708,0.0827210533869565,0.986700297417779,-0.343593741169792,0.999430996321945,0.0406255961182307,0.982201279174495,0.0918979972022269,0.560065526810232,0.33968870540149,0.996246021668058,0.0295712849092933,0.802395693897751,0.273696634187717,0.429579911089136,0.363171264798966,0.956924302875245,-0.194712636562072,0.776443008336651,-0.298377885976557,0.41494546440601,-0.410564842278552,0.924704430723309,0.174743479972853,0.869098058948052,0.232768774765056,RS27A_CHICK,4.90e-96
CHOYP_ADD.3.5.m.17639,0.0305946117043413,0.0255161385214915,NA,0.986700297417779,0.275357977317924,0.851907074630185,0.399214506684562,0.982201279174495,0.211866674648229,0.718979962136063,0.393627512512294,0.996246021668058,0.279907304823602,0.256018526422386,0.561026861584226,0.640192194966931,0.392686597970553,0.16267544717836,0.580250220845916,0.376538063812016,0.492526515300453,0.0748376248955837,0.655974001611885,0.462049995152732,0.486038380674935,0.398635192428793,0.454652219189931,HTS_DROME,1.27e-175
CHOYP_AGAP_AGAP007120.1.1.m.57542,0.0371270426739866,0.0794461907423706,NA,0.986700297417779,-0.158058051275773,0.999430996321945,0.0269900909446914,0.982201279174495,0.016507212008797,0.973152018906767,-0.0779935151329161,0.996246021668058,-0.0890337798657876,0.938232478990227,0.127610832990528,0.995145092771847,-0.151084215430493,0.940726045635575,0.302716245317009,0.38227667912824,0.514352877753632,0.501355478479823,0.452084166501868,0.924704430723309,-0.171855642500072,0.975610914628898,0.0475199179964338,NDKB_MOUSE,2.05e-78
CHOYP_AGRIN.2.5.m.5339,0.0310537523285762,NA,NA,0.986700297417779,-0.447071523690401,0.999430996321945,-0.216136436235073,0.982201279174495,-0.345085100452081,0.973152018906767,-0.236422877737399,0.869960396704832,-0.444002136517158,0.938232478990227,-0.199876787238735,0.138528468021551,-0.87655417075887,0.912654964198952,-0.368725776129616,0.103752319963935,-0.946639254871283,0.352416203259431,-0.676183225592363,0.457365042400915,-0.68642881532983,0.975610914628898,-0.293453932581475,AGRIN_RAT,7.82e-13
CHOYP_ALPHATUB84D.1.1.m.16562,NA,NA,0.027390762357767,0.986700297417779,-0.0702516703069662,0.999430996321945,0.196470981242697,0.982201279174495,0.0331415741455992,0.973152018906767,-0.185142372793706,0.996246021668058,-0.0776177358000343,0.630798799597708,-0.312961758395454,0.0421771896618538,-0.563087654619704,0.00521086919066578,-0.706517034461029,0.0100701383859216,-0.676241460624002,0.0427160037159433,-0.568379936057848,0.116002755166666,-0.524965392635714,0.975610914628898,0.00712686716218336,TBA3_DROME,7.80e-84
CHOYP_ARF2.1.3.m.10738,NA,NA,0.0329075119768819,0.986700297417779,-0.247540060162765,0.977017671415983,-0.457976619799744,0.865980769021004,-0.44782320604134,0.973152018906767,-0.2695897416726,0.996246021668058,-0.299105929566369,0.938232478990227,-0.0549805802879462,0.995145092771847,-0.245383240615261,0.776628733509788,-0.430280446646253,0.64915964414838,-0.499180277900062,0.961363911790654,-0.314115739851787,0.924704430723309,-0.0754711060757298,0.945856377774884,-0.302633359355871,ARF2_RAT,1.69e-124
CHOYP_ARP3.1.1.m.6867,0.0292820002332495,NA,NA,0.986700297417779,-0.160077218912426,0.999430996321945,0.369842404817576,0.982201279174495,0.225948561637672,0.973152018906767,0.281425427125219,0.996246021668058,-0.00959931237138356,0.725023375711411,0.407362633769255,0.995145092771847,-0.0685054785311818,0.977637038443834,0.0656770480161581,0.963868455966786,-0.177252183012699,0.841939701697444,0.328332255530129,0.924704430723309,0.232651189286602,0.912832326074647,0.312702790408804,ARP3_PONAB,0.0
CHOYP_ATPB.1.1.m.21960,-0.053630316769685,NA,0.0287591823498044,0.986700297417779,0.0845951917230039,0.999430996321945,0.101421906897998,0.982201279174495,-0.0331323279248306,0.971512014436236,-0.176235871662311,0.996246021668058,0.0843185510162554,0.137158017044013,-0.406502526234876,0.919712549944097,0.165710927318957,0.977637038443834,0.0395642076970271,0.963868455966786,0.0927142477866409,0.24278809991917,-0.333655926247432,0.896781667810131,-0.201926496387887,0.651007308048563,-0.218550914677358,ATPB_HEMPU,0.0
CHOYP_BRAFLDRAFT_115608.1.1.m.25984,NA,0.0404033693297565,0.0538204224430669,0.986700297417779,-0.0511428473592623,0.999430996321945,0.00145499883755296,0.982201279174495,0.0386315863625031,0.973152018906767,0.11698344862313,0.996246021668058,0.102610191214642,0.487383719544117,0.234526036907039,0.995145092771847,0.0746987951067286,0.523394632573425,0.211833883525521,0.425571629412552,0.234244958560896,0.966102556326282,0.0829250594920028,0.763249608612142,0.191892628081917,0.975610914628898,0.0750794005658904,IDHP_MACFA,0.0
CHOYP_BRAFLDRAFT_119799.1.1.m.23765,0.040445458202097,0.0805277062088563,0.0495886100172516,0.986700297417779,-0.243787925301658,0.767603810912616,-0.437830046687967,0.259016652144232,-0.599349296658144,0.5602561808157,-0.45506316421274,0.0460748713878866,-0.807965451201733,0.245796935409909,-0.627970439343026,0.0889822288363422,-0.72455107731382,0.820621674567948,-0.325513709308318,0.866796154916343,-0.327030611343235,0.419345449603013,-0.484315671269374,0.00779422905761959,-1.10146631460867,0.160749839137074,-0.616430878871552,PRDX5_HUMAN,7.30e-69
CHOYP_BRAFLDRAFT_120058.1.1.m.9895,NA,0.0275521217942676,0.0317895564271406,0.986700297417779,-0.404779801973963,0.174624104314977,-1.52210695721946,0.173159177445082,-1.41241786991014,0.0577917883190971,-1.85309423818589,0.17236622784592,-1.36323626698608,0.291879032538091,-1.28903591914997,0.180545927159386,-1.34122243776231,0.303429059276856,-1.13595681315349,0.0996995671084463,-1.60395259981712,0.153315056728586,-1.41386998700222,0.0410461294179365,-2.20999077138684,0.00819655381749084,-2.2774963586785,DYDC1_HUMAN,8.57e-20
