GO,Clust_Color,Clust_Num,sumsim,semsimsum,term,GOSlim_bin,p.value,p.adj
GO:0008543,magenta,10,0.854447319637983,182.40078312666,fibroblast growth factor receptor signaling pathway,signal transduction,0.00489475528918845,1
GO:0010466,magenta,10,3.81749993585907,182.40078312666,negative regulation of peptidase activity,other biological processes,0.000654718048874822,0.142728534654711
GO:0010642,magenta,10,5.31083282430029,182.40078312666,negative regulation of platelet-derived growth factor receptor signaling pathway,signal transduction,4.49058700557209e-06,0.000978947967214717
GO:0010724,magenta,10,9.53229187027225,182.40078312666,regulation of definitive erythrocyte differentiation,developmental processes,0.000654718048874822,0.142728534654711
GO:0010917,magenta,10,2.64814856872509,182.40078312666,negative regulation of mitochondrial membrane potential,other biological processes,0.00130879332458626,0.285316944759806
GO:0010940,magenta,10,3.71014086329069,182.40078312666,positive regulation of necrotic cell death,death,0.00163559018540937,0.356558660419242
GO:0030520,magenta,10,0.854447319637983,182.40078312666,intracellular estrogen receptor signaling pathway,signal transduction,0.00163559018540937,0.356558660419242
GO:0031156,magenta,10,9.51529557324227,182.40078312666,regulation of sorocarp development,developmental processes;stress response,0.00130879332458626,0.285316944759806
GO:0034199,magenta,10,6.80732195680465,182.40078312666,activation of protein kinase A activity,other metabolic processes,0.00196222666825399,0.42776541367937
GO:0035582,magenta,10,10.887766170659,182.40078312666,sequestering of BMP in extracellular matrix,NA,0.00196222666825399,0.42776541367937
GO:0035583,magenta,10,8.15139157048209,182.40078312666,sequestering of TGFbeta in extracellular matrix,NA,0.00294117489773884,0.641176127707066
GO:0042308,magenta,10,1.62375177938473,182.40078312666,negative regulation of protein import into nucleus,transport,3.36940950669793e-06,0.000734531272460149
GO:0045089,magenta,10,11.2613619908322,182.40078312666,positive regulation of innate immune response,stress response,0.0026150189196223,0.570074124477661
GO:0045578,magenta,10,7.26843996286811,182.40078312666,negative regulation of B cell differentiation,developmental processes,0.000981835980773718,0.214040243808671
GO:0045638,magenta,10,8.68893402135104,182.40078312666,negative regulation of myeloid cell differentiation,developmental processes,0.0026150189196223,0.570074124477661
GO:0045671,magenta,10,7.99951211268916,182.40078312666,negative regulation of osteoclast differentiation,developmental processes,0.00228870287804521,0.498937227413855
GO:0045861,magenta,10,4.40242213711732,182.40078312666,negative regulation of proteolysis,protein metabolism,0.00228870287804521,0.498937227413855
GO:0046628,magenta,10,7.83914511555783,182.40078312666,positive regulation of insulin receptor signaling pathway,signal transduction,0.00294117489773884,0.641176127707066
GO:0048662,magenta,10,0.854447319637983,182.40078312666,negative regulation of smooth muscle cell proliferation,cell cycle and proliferation,1.24822563910417e-05,0.00272113189324709
GO:0051895,magenta,10,1.70889463927597,182.40078312666,negative regulation of focal adhesion assembly,cell organization and biogenesis;cell adhesion,7.21072382340453e-06,0.00157193779350219
GO:0060588,magenta,10,3.42982751217467,182.40078312666,negative regulation of lipoprotein lipid oxidation,protein metabolism,2.40777118625252e-06,0.000524894118603049
GO:0061052,magenta,10,9.9793254874463,182.40078312666,negative regulation of cell growth involved in cardiac muscle cell development,NA,0.00196222666825399,0.42776541367937
GO:0071638,magenta,10,5.82229897854789,182.40078312666,negative regulation of monocyte chemotactic protein-1 production,NA,3.36940950669793e-06,0.000734531272460149
GO:0090197,magenta,10,10.6809169367707,182.40078312666,positive regulation of chemokine secretion,NA,0.000981835980773718,0.214040243808671
GO:1900016,magenta,10,10.116323784332,182.40078312666,negative regulation of cytokine production involved in inflammatory response,NA,4.49058700557209e-06,0.000978947967214717
GO:2000098,magenta,10,0.854447319637983,182.40078312666,negative regulation of smooth muscle cell-matrix adhesion,NA,2.40777118625252e-06,0.000524894118603049
GO:2000405,magenta,10,5.50780518531309,182.40078312666,negative regulation of T cell migration,NA,2.40777118625252e-06,0.000524894118603049
GO:2000632,magenta,10,10.0409369421179,182.40078312666,negative regulation of pre-miRNA processing,NA,0.000654718048874822,0.142728534654711
GO:2000648,magenta,10,4.56458818292867,182.40078312666,positive regulation of stem cell proliferation,NA,0.000981835980773718,0.214040243808671
GO:2001205,magenta,10,7.66781974576536,182.40078312666,negative regulation of osteoclast development,NA,0.00196222666825399,0.42776541367937
GO:0000050,red,2,6.8671851230109,90.8503215089622,urea cycle,other metabolic processes,0.00163559018540937,0.356558660419242
GO:0000272,red,2,7.04673283466282,90.8503215089622,polysaccharide catabolic process,other metabolic processes,0.00359300708217652,0.78327554391448
GO:0006006,red,2,6.11404156838644,90.8503215089622,glucose metabolic process,other metabolic processes,6.75619910851765e-07,0.000147285140565685
GO:0006032,red,2,6.98405068252592,90.8503215089622,chitin catabolic process,other metabolic processes,0.00391868349757702,0.85427300247179
GO:0006183,red,2,7.63648958275765,90.8503215089622,GTP biosynthetic process,other metabolic processes,0.00294117489773884,0.641176127707066
GO:0006228,red,2,7.72163244264888,90.8503215089622,UTP biosynthetic process,other metabolic processes,0.0026150189196223,0.570074124477661
GO:0006241,red,2,7.72163244264888,90.8503215089622,CTP biosynthetic process,other metabolic processes,0.00294117489773884,0.641176127707066
GO:0006525,red,2,7.0575858293422,90.8503215089622,arginine metabolic process,other metabolic processes,0.00130879332458626,0.285316944759806
GO:0006629,red,2,5.61422964547912,90.8503215089622,lipid metabolic process,other metabolic processes,8.89600092967682e-05,0.0193932820266955
GO:0016070,red,2,7.81436407336425,90.8503215089622,RNA metabolic process,RNA metabolism,0.00391868349757702,0.85427300247179
GO:0018149,red,2,7.21244850434681,90.8503215089622,peptide cross-linking,protein metabolism,0.0026150189196223,0.570074124477661
GO:0018209,red,2,7.21244850434681,90.8503215089622,peptidyl-serine modification,protein metabolism,0.000654718048874822,0.142728534654711
GO:0042744,red,2,5.84748027544152,90.8503215089622,hydrogen peroxide catabolic process,stress response;other metabolic processes,0.00489475528918845,1
