protein_ID,GO
CHOYP_ACT.5.27.m.15585,GO:0005524
CHOYP_ACT.6.27.m.15622,GO:0005524
CHOYP_ADD.2.5.m.15081,GO:0000212
CHOYP_AMACR.1.1.m.21950,GO:0005102
CHOYP_AN13B.1.1.m.15287,GO:0005770
CHOYP_ANK3.7.9.m.43272,GO:0002027
CHOYP_ANM12.1.1.m.53881,GO:0006479
CHOYP_AOF.1.1.m.7109,GO:0005741
CHOYP_ARB_02478.1.1.m.29725,GO:0005576
CHOYP_B3GT2.1.1.m.35771,GO:0000139
CHOYP_BET1L.1.1.m.8210,GO:0015031
CHOYP_BRAFLDRAFT_113696.1.1.m.54166,GO:0005634
CHOYP_BRAFLDRAFT_114350.1.1.m.14176,GO:0005634
CHOYP_BRAFLDRAFT_122339.1.1.m.58748,GO:0005509
CHOYP_BRAFLDRAFT_127065.5.7.m.28848,GO:0001525
CHOYP_BRAFLDRAFT_204923.2.2.m.63877,GO:0004175
CHOYP_BRAFLDRAFT_205939.3.3.m.64021,GO:0005201
CHOYP_BRAFLDRAFT_206907.11.11.m.60959,GO:0003943
CHOYP_BRAFLDRAFT_212086.4.11.m.42448,GO:0000287
CHOYP_BRAFLDRAFT_246447.1.1.m.30255,GO:0003943
CHOYP_BRAFLDRAFT_249506.2.2.m.60314,GO:0002230
CHOYP_BRAFLDRAFT_277091.1.3.m.1103,GO:0000049
CHOYP_BRAFLDRAFT_277797.1.1.m.26394,GO:0005654
CHOYP_BRAFLDRAFT_277920.1.1.m.28845,GO:0000462
CHOYP_BRAFLDRAFT_278918.4.5.m.39356,GO:0004499
CHOYP_BRAFLDRAFT_59154.3.3.m.53255,GO:0000307
CHOYP_BRAFLDRAFT_80064.1.1.m.40175,GO:0000165
CHOYP_BRAFLDRAFT_84054.1.2.m.8523,GO:0005524
CHOYP_BRAFLDRAFT_85896.1.1.m.38692,GO:0005764
CHOYP_C10.1.2.m.23678,GO:0005737
CHOYP_CADM4.1.1.m.60661,GO:0005886
CHOYP_CALM.37.50.m.52385,GO:0005509
CHOYP_CCBL1.1.1.m.30637,GO:0005737
CHOYP_CELF4.1.1.m.22429,GO:0000381
CHOYP_COQ9.1.2.m.4620,GO:0005739
CHOYP_CP3AB.4.4.m.47872,GO:0004497
CHOYP_DCDC2.7.7.m.46807,GO:0001764
CHOYP_DDX47.1.1.m.11144,GO:0003723
CHOYP_DSEC_GM16292.1.1.m.12184,GO:0004867
CHOYP_EHHADH.1.1.m.26459,GO:0003857
CHOYP_EPN4.1.3.m.10807,GO:0005654
CHOYP_EXOS3.1.1.m.10596,GO:0000175
CHOYP_FEN1.1.1.m.66181,GO:0000287
CHOYP_GOPC.1.1.m.45489,GO:0000139
CHOYP_GSTO1.1.2.m.14745,GO:0004364
CHOYP_LARP7.1.1.m.35019,GO:0003723
CHOYP_LOC100119750.1.1.m.7019,GO:0003676
CHOYP_LOC100123907.1.1.m.2987,GO:0004127
CHOYP_LOC100222774.1.1.m.56990,GO:0004485
CHOYP_LOC100367137.1.1.m.23977,GO:0004177
CHOYP_LOC100367581.3.3.m.56472,GO:0002244
CHOYP_LOC100367637.1.1.m.55661,GO:0000288
CHOYP_LOC100368004.1.1.m.62584,GO:0003712
CHOYP_LOC100368023.1.1.m.14890,GO:0005743
CHOYP_LOC100369194.1.1.m.42345,GO:0005634
CHOYP_LOC100369712.1.1.m.64282,GO:0000290
CHOYP_LOC100372208.1.1.m.18397,GO:0005789
CHOYP_LOC100372473.3.5.m.39839,GO:0000281
CHOYP_LOC100373578.1.1.m.478,GO:0005814
CHOYP_LOC100374254.1.1.m.22199,GO:0000055
CHOYP_LOC100376200.1.1.m.19157,GO:0005634
CHOYP_LOC100376749.1.1.m.27252,GO:0005829
CHOYP_LOC100378445.1.1.m.7111,GO:0005634
CHOYP_LOC100378487.1.1.m.64108,GO:0000900
CHOYP_LOC100561410.1.1.m.58687,GO:0005576
CHOYP_LOC100565534.1.3.m.28075,GO:0005509
CHOYP_LOC100638431.3.10.m.24462,GO:0008152
CHOYP_LOC100642891.1.1.m.25638,GO:0005739
CHOYP_LOC100644613.1.1.m.55011,GO:0008276
CHOYP_LOC100693418.2.2.m.56971,GO:0001882
CHOYP_LOC100740246.1.1.m.25108,GO:0005783
CHOYP_LOC100869188.1.1.m.18952,GO:0003735
CHOYP_LOC100890099.1.1.m.11505,GO:0005524
CHOYP_LOC100890753.1.3.m.50299,GO:0004725
CHOYP_LOC100909243.1.1.m.22728,GO:0000122
CHOYP_LOC101064328.2.3.m.57090,GO:0005737
CHOYP_LOC101072591.1.1.m.1861,GO:0005525
CHOYP_LOC101076180.1.1.m.41749,GO:0000122
CHOYP_LOC101159300.1.1.m.26609,GO:0003735
CHOYP_LOC101169131.2.2.m.32499,GO:0000209
CHOYP_LOC576498.1.1.m.10455,GO:0005929
CHOYP_LOC584364.2.2.m.57790,GO:0005200
CHOYP_LOC585972.1.1.m.25356,GO:0005739
CHOYP_LOC592209.1.1.m.48009,GO:0005509
CHOYP_LOC592411.1.1.m.19664,GO:0000398
CHOYP_LOC662320.2.2.m.19454,GO:0000243
CHOYP_LOC725079.1.1.m.66349,GO:0005737
CHOYP_LOC764898.1.1.m.28118,GO:0001501
CHOYP_MET14.1.1.m.5073,GO:0000398
CHOYP_MICPUN_58704.1.1.m.54967,GO:0005576
CHOYP_NAEGRDRAFT_47557.1.1.m.11283,GO:0005634
CHOYP_NEMVEDRAFT_V1G235461.1.1.m.28341,GO:0004499
CHOYP_NEMVEDRAFT_V1G96234.1.1.m.27743,GO:0003723
CHOYP_NRDC.1.1.m.28526,GO:0004222
CHOYP_P3A2.1.3.m.11560,GO:0000978
CHOYP_PAN2.1.1.m.44693,GO:0005524
CHOYP_PCDH9.5.5.m.59488,GO:0000175
CHOYP_POLR3K.1.1.m.8423,GO:0003676
CHOYP_PRP6.2.2.m.34365,GO:0004364
CHOYP_RNOY.1.3.m.4495,GO:0003723
CHOYP_RNOY.3.3.m.58342,GO:0003723
CHOYP_RS8.8.14.m.44842,GO:0003735
CHOYP_SMP_148160.1.1.m.11635,GO:0005576
CHOYP_SMP_168770.1.1.m.18618,GO:0002168
CHOYP_SODM.2.2.m.62946,GO:0002092
CHOYP_SPR.1.3.m.17978,GO:0004757
CHOYP_TBA.1.6.m.12217,GO:0005200
CHOYP_TBA.5.6.m.37448,GO:0005200
CHOYP_TBA1A.2.4.m.19573,GO:0000226
CHOYP_TBG1.1.1.m.28190,GO:0000070
CHOYP_TRIADDRAFT_37121.1.1.m.51940,GO:0001917
CHOYP_TRIADDRAFT_49883.1.1.m.29857,GO:0001525
CHOYP_TSP_02835.1.1.m.26375,GO:0005504
CHOYP_TXN4A.1.2.m.59542,GO:0000398
CHOYP_TXND3.2.4.m.21415,GO:0004550
CHOYP_UBE2C.1.1.m.55757,GO:0005524
CHOYP_UBR7.1.1.m.7300,GO:0005737
CHOYP_VOLCADRAFT_89567.1.1.m.27272,GO:0005576
CHOYP_XRN2.1.1.m.13943,GO:0000738
CHOYP_ACT.5.27.m.15585,GO:0005737
CHOYP_ACT.6.27.m.15622,GO:0005737
CHOYP_ADD.2.5.m.15081,GO:0005198
CHOYP_AMACR.1.1.m.21950,GO:0005737
CHOYP_AN13B.1.1.m.15287,GO:0005886
CHOYP_ANK3.7.9.m.43272,GO:0003283
CHOYP_ANM12.1.1.m.53881,GO:0008168
CHOYP_AOF.1.1.m.7109,GO:0006584
CHOYP_ARB_02478.1.1.m.29725,GO:0016491
CHOYP_B3GT2.1.1.m.35771,GO:0006486
