protein_ID,GO
CHOYP_BRAFLDRAFT_284971.1.1.m.8608,GO:0001096
CHOYP_BRAFLDRAFT_91321.7.10.m.56158,GO:0003950
CHOYP_CBX1.3.4.m.27106,GO:0000118
CHOYP_DMOJ_GI18492.1.1.m.8903,GO:0000139
CHOYP_FLNA.6.6.m.37383,GO:0001725
CHOYP_FLOT1.1.2.m.21435,GO:0005198
CHOYP_G6PD.1.2.m.38380,GO:0004345
CHOYP_ISCW_ISCW001285.2.2.m.15985,GO:0003735
CHOYP_LOC100371761.1.1.m.57462,GO:0001558
CHOYP_LOC100376187.2.2.m.55240,GO:0016491
CHOYP_LOC100533330.1.2.m.2565,GO:0003924
CHOYP_LOC100565981.1.1.m.29912,GO:0000932
CHOYP_LOC100635245.3.4.m.44747,GO:0000149
CHOYP_LOC100692883.1.1.m.5437,GO:0001501
CHOYP_LOC100706133.1.1.m.56708,GO:0016021
CHOYP_LOC100879487.2.3.m.32793,GO:0007601
CHOYP_LOC101076790.1.1.m.45316,GO:0004180
CHOYP_LOC101470738.2.2.m.26124,GO:0005524
CHOYP_LOC578464.1.1.m.46553,GO:0004499
CHOYP_LOC592142.4.9.m.49474,GO:0004560
CHOYP_LOC657694.1.1.m.34526,GO:0001678
CHOYP_LOC660510.1.1.m.56258,GO:0003676
CHOYP_NCBP2.1.1.m.60410,GO:0000339
CHOYP_NEUFC.1.1.m.44515,GO:0005576
CHOYP_RAB21.1.1.m.56542,GO:0003924
CHOYP_ROA3.2.2.m.11068,GO:0003723
CHOYP_RS26.14.15.m.57342,GO:0002181
CHOYP_SI_CH211-197G15.7.3.3.m.61063,GO:0005525
CHOYP_SPTCA.2.2.m.25615,GO:0003779
CHOYP_TSN3.1.1.m.57074,GO:0000139
CHOYP_BRAFLDRAFT_284971.1.1.m.8608,GO:0003677
CHOYP_BRAFLDRAFT_91321.7.10.m.56158,GO:0005634
CHOYP_CBX1.3.4.m.27106,GO:0000122
CHOYP_DMOJ_GI18492.1.1.m.8903,GO:0004653
CHOYP_FLNA.6.6.m.37383,GO:0003334
CHOYP_FLOT1.1.2.m.21435,GO:0005737
CHOYP_G6PD.1.2.m.38380,GO:0005536
CHOYP_ISCW_ISCW001285.2.2.m.15985,GO:0005840
CHOYP_LOC100371761.1.1.m.57462,GO:0001919
CHOYP_LOC100376187.2.2.m.55240,GO:0016616
CHOYP_LOC100533330.1.2.m.2565,GO:0005525
CHOYP_LOC100565981.1.1.m.29912,GO:0003723
CHOYP_LOC100635245.3.4.m.44747,GO:0005484
CHOYP_LOC100692883.1.1.m.5437,GO:0005509
CHOYP_LOC100706133.1.1.m.56708,GO:0032580
CHOYP_LOC100879487.2.3.m.32793,GO:0016021
CHOYP_LOC101076790.1.1.m.45316,GO:0005615
CHOYP_LOC101470738.2.2.m.26124,GO:0005737
CHOYP_LOC578464.1.1.m.46553,GO:0005789
CHOYP_LOC592142.4.9.m.49474,GO:0005576
CHOYP_LOC657694.1.1.m.34526,GO:0004340
CHOYP_LOC660510.1.1.m.56258,GO:0005615
CHOYP_NCBP2.1.1.m.60410,GO:0005634
CHOYP_NEUFC.1.1.m.44515,GO:0020037
CHOYP_RAB21.1.1.m.56542,GO:0005525
CHOYP_ROA3.2.2.m.11068,GO:0005634
CHOYP_RS26.14.15.m.57342,GO:0003735
CHOYP_SI_CH211-197G15.7.3.3.m.61063,GO:0005737
CHOYP_SPTCA.2.2.m.25615,GO:0005509
CHOYP_TSN3.1.1.m.57074,GO:0005789
CHOYP_BRAFLDRAFT_284971.1.1.m.8608,GO:0004386
CHOYP_BRAFLDRAFT_91321.7.10.m.56158,GO:0005737
CHOYP_CBX1.3.4.m.27106,GO:0000776
CHOYP_DMOJ_GI18492.1.1.m.8903,GO:0005794
CHOYP_FLNA.6.6.m.37383,GO:0003382
CHOYP_FLOT1.1.2.m.21435,GO:0007275
CHOYP_G6PD.1.2.m.38380,GO:0005634
CHOYP_ISCW_ISCW001285.2.2.m.15985,GO:0006412
CHOYP_LOC100371761.1.1.m.57462,GO:0005764
CHOYP_LOC100376187.2.2.m.55240,GO:0033721
CHOYP_LOC100533330.1.2.m.2565,GO:0005768
CHOYP_LOC100565981.1.1.m.29912,GO:0005829
CHOYP_LOC100635245.3.4.m.44747,GO:0006887
CHOYP_LOC100692883.1.1.m.5437,GO:0005540
CHOYP_LOC100879487.2.3.m.32793,GO:0016324
CHOYP_LOC101076790.1.1.m.45316,GO:0008237
CHOYP_LOC101470738.2.2.m.26124,GO:0005856
CHOYP_LOC578464.1.1.m.46553,GO:0005829
CHOYP_LOC592142.4.9.m.49474,GO:0005764
CHOYP_LOC657694.1.1.m.34526,GO:0004396
CHOYP_LOC660510.1.1.m.56258,GO:0005886
CHOYP_NCBP2.1.1.m.60410,GO:0005846
CHOYP_NEUFC.1.1.m.44515,GO:0045666
CHOYP_RAB21.1.1.m.56542,GO:0005768
CHOYP_ROA3.2.2.m.11068,GO:0006397
CHOYP_RS26.14.15.m.57342,GO:0022627
CHOYP_SI_CH211-197G15.7.3.3.m.61063,GO:0006955
CHOYP_SPTCA.2.2.m.25615,GO:0005516
CHOYP_TSN3.1.1.m.57074,GO:0005887
CHOYP_BRAFLDRAFT_284971.1.1.m.8608,GO:0005524
CHOYP_BRAFLDRAFT_91321.7.10.m.56158,GO:0005829
CHOYP_CBX1.3.4.m.27106,GO:0000784
CHOYP_DMOJ_GI18492.1.1.m.8903,GO:0016021
CHOYP_FLNA.6.6.m.37383,GO:0003779
CHOYP_FLOT1.1.2.m.21435,GO:0016600
CHOYP_G6PD.1.2.m.38380,GO:0005829
CHOYP_LOC100371761.1.1.m.57462,GO:0005765
CHOYP_LOC100376187.2.2.m.55240,GO:0050662
CHOYP_LOC100533330.1.2.m.2565,GO:0005886
CHOYP_LOC100565981.1.1.m.29912,GO:0010494
CHOYP_LOC100635245.3.4.m.44747,GO:0006906
CHOYP_LOC100692883.1.1.m.5437,GO:0007155
CHOYP_LOC100879487.2.3.m.32793,GO:0042462
CHOYP_LOC101076790.1.1.m.45316,GO:0008241
CHOYP_LOC578464.1.1.m.46553,GO:0016021
CHOYP_LOC592142.4.9.m.49474,GO:0006004
CHOYP_LOC657694.1.1.m.34526,GO:0005524
